classe,arquivo,PC1,PC2,PC3,PC4,PC5,PC6
Healthy,preprocess_Reading1.dat,-5.612656433683862,-2.505514227607947,-0.6368459005511284,-0.5943545547873801,0.39313103951256323,-1.7352872968640382e-06
Healthy,preprocess_Reading2.dat,-4.730983159952693,-2.362460434503745,-0.5046103171009887,0.6380153539738904,0.15294756415189353,-1.6955292649993637e-06
Healthy,preprocess_Reading3.dat,-4.141108151795494,-2.3105091684591446,-0.4165713505776739,0.15210716059901594,0.4773165887759411,-1.5492938545118701e-06
Healthy,preprocess_Reading4.dat,-3.1856085701897032,-1.9435130043867173,-0.21218016339341664,0.7666523672003395,0.502221023011339,-1.4705126401255841e-06
Healthy,preprocess_Reading5.dat,-1.5404246810917803,-2.1757542617666252,0.22259450155977833,0.3541748811322368,0.10424573105941297,-8.630519567567912e-07
Healthy,preprocess_Reading6.dat,-3.0121002364423624,-1.8441597242566579,-0.12462874989521847,0.675673529275909,0.6992600521303973,-1.6989051760137864e-06
Healthy,preprocess_Reading7.dat,-3.4593387512123557,-2.1419388150945453,-0.21914927032717674,0.3419795244123969,0.44186168317617674,-1.8398997562767808e-06
Healthy,preprocess_Reading8.dat,-3.6323489170563636,-1.5933616610725057,-0.06216255840123418,0.8500846436426266,0.19255613921554038,-8.002481419527027e-07
Healthy,preprocess_Reading9.dat,-2.94151828784522,-1.7216479682839865,-0.33393911396867293,0.6553902224590935,0.3456953989473963,-6.166806806119229e-07
Healthy,preprocess_Reading10.dat,-2.475235588758052,-2.2057274773739786,-0.48355752216457515,0.13595364000579363,0.10690225761286092,-7.116850060571943e-07
Healthy,preprocess_Reading11.dat,-3.2084665788830202,-2.180546617891671,-0.9132385506922238,0.04925442056500334,0.00692251901950002,-1.3018125106991883e-06
Healthy,preprocess_Reading12.dat,-2.4541137603908085,-1.9265411305991027,-0.1822518008068395,0.182569942107208,0.14394838025227527,-1.2698151883946963e-06
Healthy,preprocess_Reading13.dat,-3.2702797713836365,-1.6159015921367592,-0.32561793892651164,-0.13335239030860366,0.3404264301034131,-5.172993015189115e-07
Healthy,preprocess_Reading14.dat,-2.864794648875149,-1.3725971172673301,0.46364358861519656,0.05170723479211074,0.6632327402143668,-2.7161902093898445e-07
Healthy,preprocess_Reading15.dat,-2.9052526154729423,-2.1238120265135656,-0.08579127433406895,0.44817262456433066,0.452387255530225,-1.016993206131999e-06
Healthy,preprocess_Reading16.dat,-1.7101176338356752,-1.6411552358792398,0.6789921969595992,0.5124014559023561,0.5236654036720013,-8.620660730354971e-07
Healthy,preprocess_Reading17.dat,-2.7485363957687485,-2.1515867785952136,0.5453606793515607,-0.05935284729425011,0.7529215774553113,-8.909089943236436e-07
Healthy,preprocess_Reading18.dat,-2.0955708723304975,-1.545554115302585,0.04801574939162859,0.040111192789275975,0.6883355638349367,-7.570185899583256e-07
Healthy,preprocess_Reading19.dat,-1.9446993579632774,-2.4395979873381877,0.4258030581138032,0.2078920378150555,0.2913158686370081,-1.0847285436988804e-06
Healthy,preprocess_Reading20.dat,-2.829369754869694,-2.203829367500323,-0.33147031564339685,-0.11504132156747766,0.3979858804641271,-5.754051817300472e-07
Healthy,preprocess_Reading21.dat,-1.9973091408479513,-1.9111534777272567,0.5787800636644944,0.2630235774535906,0.08537083023308482,-1.8670580718878977e-07
Healthy,preprocess_Reading22.dat,-1.8932043395323623,-2.2740295902973005,-0.11212842609815897,0.22517840156997893,0.5865388580429088,-1.2288970800553212e-06
Healthy,preprocess_Reading23.dat,-1.581526668304481,-2.7247338952061657,-1.1568066911046744,-0.03664980229425517,0.45088893647133604,-1.591074519669084e-06
Healthy,preprocess_Reading24.dat,-1.6523546700169418,-2.512845461618271,-0.0969939948844632,0.1767846658207593,0.2993390330128313,-1.317987559312882e-06
Healthy,preprocess_Reading25.dat,-2.3785553179460464,-2.32076368273925,-0.15890280159784345,0.1350971991163834,0.5645428766864282,-1.2047215941633874e-06
Healthy,preprocess_Reading26.dat,-2.0979978570429774,-1.3342583631837877,-0.7002584608963888,0.2560566084175382,0.911999007287044,3.7126602791389185e-07
Healthy,preprocess_Reading27.dat,-2.1879650264533375,-2.171948880219408,0.8413984782215836,0.42410630253951426,0.47567777345990836,-8.022076597119875e-07
Healthy,preprocess_Reading28.dat,-1.6266050467330078,-1.735116467551129,-0.49293694497786844,-0.20260459879994444,0.5139990587863048,-9.195223630135283e-07
Healthy,preprocess_Reading29.dat,-1.3086958810462732,-1.5116516384787189,-0.4405845962895253,0.2958152698319775,0.30413108880578066,-3.389113718867707e-07
Healthy,preprocess_Reading30.dat,-1.521780716290666,-2.1966788848761607,-0.014918545082419795,0.07831804713024557,0.4484524739540914,-5.599473114838734e-07
Healthy,preprocess_Reading31.dat,-2.2074303315709365,-2.0295414639751965,-0.023354330102648178,0.5737363919897848,0.8452683607716183,-1.6518051560486155e-06
Healthy,preprocess_Reading32.dat,-2.118753639937707,-2.3832108168664914,-0.0393126857679915,-0.4102995965199357,-0.008949045571476369,-9.038937816167309e-07
Healthy,preprocess_Reading33.dat,-1.3595652945639878,-1.4325434942018662,-1.3892666104884557,-0.10580691999290473,1.0494652491357652,-4.6307885392769e-07
Healthy,preprocess_Reading34.dat,-0.8728782708537165,-2.334797590124248,-0.1376120621424762,0.37306070428685273,0.2827103134657219,-7.408415271726093e-07
Healthy,preprocess_Reading35.dat,-1.013737518857527,-2.1792718182925155,-1.0704804197714122,0.45079937722654906,-0.04725847455642647,-6.828204529250378e-09
Healthy,preprocess_Reading36.dat,-1.6960690239215943,-2.069707878790189,-0.7569504376720603,0.08271980831045277,0.2441826693993487,-1.0134775188327353e-06
Healthy,preprocess_Reading37.dat,-1.6266534062500273,-2.3503303182522006,-0.6458775542902643,0.3015478661333371,0.8603207739727354,-1.0252255773203155e-06
Healthy,preprocess_Reading38.dat,-1.221506007473342,-1.3808416380242128,-0.09805855760164739,-0.5091031040786693,0.6544695458566856,2.3183382087437342e-07
Healthy,preprocess_Reading39.dat,-1.9180356843366677,-2.2342466524657563,-1.0283933852827614,0.4061459211840071,0.5307430394726169,-3.319035306445682e-07
Healthy,preprocess_Reading40.dat,-2.042363298487786,-2.120097128807986,-0.5224564300638961,0.43463679180972786,0.8241339238209946,2.5648469431381847e-07
Healthy,preprocess_Reading41.dat,-1.7669423729584255,-2.1013565851813345,-0.839928417588554,-0.28411793004176383,0.26089030257193124,1.24253417907228e-06
Healthy,preprocess_Reading42.dat,-1.1219913285663319,-1.7563948322756473,0.027003348122241592,0.36037052275239134,0.5874267813499854,-3.888288564983288e-07
Healthy,preprocess_Reading43.dat,-1.8522363131214714,-1.7169042427324752,0.558555757688658,0.6958284111169476,0.8940946102224804,3.439506528083054e-07
Healthy,preprocess_Reading44.dat,-1.9201534166771683,-2.490016884728231,-0.590191790034728,0.06451914196858134,0.3245875973845604,9.078554184024145e-07
Healthy,preprocess_Reading45.dat,-1.8163913739669393,-2.3771243134698765,0.2218903537188072,0.5046039119922577,0.8197878383317908,2.4617341219804424e-06
Healthy,preprocess_Reading46.dat,-1.8701925567646733,-2.2392697334534932,-0.32202754774761416,0.13012749079114203,0.37784152350409006,8.151847105393932e-07
Healthy,preprocess_Reading47.dat,-3.1267383003782285,-2.1275046614670567,-1.3323684346015583,-0.32074048801069865,0.2871256538217845,2.4637039079396667e-06
Healthy,preprocess_Reading48.dat,-2.1012188602806128,-2.6204819983092817,-0.7842745628330168,0.2519567309368519,0.4325618109032418,-1.8379163084588155e-07
Healthy,preprocess_Reading49.dat,-3.146286189588459,-2.4418943910569597,-0.40375292762625553,-0.22431016034397605,0.6016053698260536,1.4182747653785855e-06
Healthy,preprocess_Reading50.dat,-2.3818433092943616,-2.2172115981896314,-1.0032802344991545,0.10737768007127607,0.5859585421802771,1.3482522095881998e-06
Healthy,preprocess_Reading51.dat,-2.6320537887308206,-2.1074283667414195,1.5260140005931986,-0.0161764050681322,1.0307884549663187,1.6372861421790896e-06
Healthy,preprocess_Reading52.dat,-1.5054280557978914,-2.680762924436109,-0.44687601468809685,0.22759267014001916,0.3216522147070571,1.0325267023563279e-06
Healthy,preprocess_Reading53.dat,-1.8989726010487906,-1.5935115791188292,-0.5470276729647471,0.27127438668910325,1.2956925907493053,3.530297162821369e-07
Healthy,preprocess_Reading54.dat,-1.7411964692315982,-2.4292369376084513,-0.17721346396371798,0.17022764939432206,0.24258321205613062,1.0606242188712757e-06
Healthy,preprocess_Reading55.dat,-1.2564749675681692,-2.1344408672254622,-0.7054202490940261,0.09618895777777084,0.05727601438075709,3.753991153610749e-07
Healthy,preprocess_Reading56.dat,-1.0951404686653003,-1.9506435976615393,-0.29624412347648305,0.543366283586134,0.29989923330971824,7.244714765286564e-07
Healthy,preprocess_Reading57.dat,-2.305565528330001,-2.4108045211992857,-0.5045363310222003,0.054734937081751346,-0.01694936910621981,1.8877738395877376e-07
Healthy,preprocess_Reading58.dat,-1.961487537068998,-2.6563585315968616,0.07349209902930597,0.25787603104095713,0.24829355767986303,-6.306739042749995e-08
Healthy,preprocess_Reading59.dat,-1.819924159962854,-2.6291279264083105,-1.348391379368609,-0.5189739792698325,0.4213633209323035,2.421432410299193e-07
Healthy,preprocess_Reading60.dat,-2.314300513069697,-2.194942337753735,0.3849971483870161,0.4277679157128139,0.6893943787461099,7.235131659184838e-08
Healthy,preprocess_Reading61.dat,-1.8963596551343036,-2.0780844732234534,-0.16470310490841572,0.08466619575524335,0.47476453730635976,3.4422343410117894e-07
Healthy,preprocess_Reading62.dat,-1.3045542892698159,-2.136915900064909,-1.4468126561635992,-0.37024368288256115,0.8415384463513971,-4.4072342019753214e-08
Healthy,preprocess_Reading63.dat,-2.269533305303934,-3.198872502923008,-0.1606079737782181,0.016885045569048063,0.7722832056640383,1.0775338350995788e-06
Healthy,preprocess_Reading64.dat,-1.5404731764181212,-2.324845739509765,-0.7592070263716575,-0.31602048881615086,0.5233405041948654,9.462749645004517e-08
Healthy,preprocess_Reading65.dat,-1.754426425801876,-2.0327737843172655,-0.8132133889507629,-0.30103947603175074,0.8982410072213144,1.3360308233402028e-06
Healthy,preprocess_Reading66.dat,-2.577382050153179,-2.710659391716122,-0.576751781904317,-0.17422946641933415,0.5093351672706767,1.6889366866584372e-06
Healthy,preprocess_Reading67.dat,-2.111586432935204,-2.6989640352543494,0.09588360772206449,-0.07657449970882062,0.9592129711841174,1.055222903869439e-06
Healthy,preprocess_Reading68.dat,-1.5459757892224653,-2.5863251710594217,-0.2604761459419425,-0.1562849033829898,0.932895265573309,-9.375854703984499e-07
Healthy,preprocess_Reading69.dat,-2.068606214267588,-2.1716940429402367,-0.04551965223690978,0.16004932243553802,1.1310195827791287,8.560824005397743e-08
Healthy,preprocess_Reading70.dat,-1.5359890671808025,-2.7945646642870545,0.519700103095915,0.24743093605514055,1.0430727598766,-9.478860581392518e-07
Healthy,preprocess_Reading71.dat,-2.4772885112945198,-2.303056257031156,-0.4041065276831746,0.20977831710756337,1.2016956422030818,7.807162692000492e-07
Healthy,preprocess_Reading72.dat,-1.653141806984452,-2.4306482068124615,-1.3531661419281638,0.024908469104116156,1.104906328942794,-3.6620553581044605e-07
Healthy,preprocess_Reading73.dat,-1.5756702625987626,-2.314269312607527,0.1826636676061571,-0.016362465086618833,1.061459012210059,5.131090049019032e-07
Healthy,preprocess_Reading74.dat,-1.8092284222655028,-2.3802100681905265,-1.3298064348662568,0.13575992795957972,1.2709822717574988,-5.986501349885892e-07
Healthy,preprocess_Reading75.dat,-1.4858183229536883,-2.708434905650564,0.338018586634919,-0.2016952405363393,1.174282371567473,1.049617814132151e-07
Healthy,preprocess_Reading76.dat,-5.6055377716807335,-2.1669716934606047,-0.11286620110163297,-0.3890644189988326,0.44249305506990805,-3.170057204012629e-06
Healthy,preprocess_Reading77.dat,-4.500239051494517,-2.002268979736398,-1.0417164411561235,0.18967075244842735,0.18762711042897834,-1.7137780383374443e-06
Healthy,preprocess_Reading78.dat,-3.155684328544209,-2.0749437993650917,0.2613690650682472,0.10831473343764059,0.8648631269926165,-1.906741456015492e-06
Healthy,preprocess_Reading79.dat,-2.515211074963864,-1.5564849079548684,-0.3978751637202259,0.08338203901324591,0.21411890169443545,-1.14331429416637e-06
Healthy,preprocess_Reading80.dat,-2.9973589013369715,-2.46754652826961,-0.09661098806052529,0.4177773192290218,-0.2794968944391664,-4.4560759783733754e-07
Healthy,preprocess_Reading81.dat,-2.527553681055121,-2.016412301072481,0.37614670798701033,0.6993482481862262,0.07063932408236834,-3.993211879532799e-07
Healthy,preprocess_Reading82.dat,-2.9330000518418733,-1.8997415748430537,-0.43339269203351705,0.47446090946495073,0.7497303231069248,-1.2111269512886576e-06
Healthy,preprocess_Reading83.dat,-2.8472627850355603,-1.7852546653437014,-0.12337602929384403,0.6136262292284208,0.25334838991486014,-1.493485106341716e-07
Healthy,preprocess_Reading84.dat,-2.6167086201196708,-1.2999761667907266,-0.03872315104361863,0.6630239195311121,0.7737143967011486,-3.110435546691622e-07
Healthy,preprocess_Reading85.dat,-3.3140634986155124,-2.18122828249039,-0.8101177992440368,0.16468786746300482,-0.038973264807261765,-9.75293638443126e-07
Healthy,preprocess_Reading86.dat,-2.2085763723966387,-1.848646153241442,-1.2096473143335116,0.4753911763796975,0.5278205883576831,-4.271837660607764e-07
Healthy,preprocess_Reading87.dat,-1.6881870987813576,-1.9850552148970506,-0.03975627325125657,0.4604030085641515,0.09208029205509068,-1.5238339314057731e-06
Healthy,preprocess_Reading88.dat,-1.738159490461932,-2.0860032551234866,0.03861347998322304,0.46886959492123725,0.22469965569192266,-1.4893646147149033e-06
Healthy,preprocess_Reading89.dat,-2.4828109693927276,-2.2531669292168037,-0.6201484222924865,0.28284576274238443,0.43958416599509564,-1.1981033869445502e-06
Healthy,preprocess_Reading90.dat,-2.0075638581339703,-2.1550799654311095,-0.4600330174271695,-0.5858911829674183,-0.022966851559087592,-5.3851532566812e-07
Healthy,preprocess_Reading91.dat,-1.9596424290623575,-1.7403573114840296,-0.7659510125617748,-0.15714860257997082,0.338042951841803,-3.890342483993192e-07
Healthy,preprocess_Reading92.dat,-2.701563889164969,-2.3291037380411534,-0.7077578857959079,0.32447201869050063,-0.2658727667311313,-1.5663340757266086e-07
Healthy,preprocess_Reading93.dat,-1.5817128262110285,-2.1439379420246674,-0.06168563329235225,-0.11322176717768248,0.31351978016121756,-9.840635191886225e-07
Healthy,preprocess_Reading94.dat,-1.6590394641339168,-1.634469198007051,0.28147012353270207,0.11268782830687185,0.9958025865791915,-3.762516451841117e-07
Healthy,preprocess_Reading95.dat,-1.64926442308184,-1.6952128647257967,0.4670923248610478,0.054427640759701953,0.7358526982913663,-5.240298128827339e-07
Healthy,preprocess_Reading96.dat,-0.9176211625514269,-2.6678094636971696,0.15806089363302328,-0.25092783504649085,0.2773095913900914,-1.1435434144914766e-06
Healthy,preprocess_Reading97.dat,-1.4900227446285603,-1.8627701084904271,-0.29039323747711887,-0.019088135442828773,0.09341060029103498,-5.722963426384556e-07
Healthy,preprocess_Reading98.dat,-1.4699437750145248,-1.2595610026079402,-0.8656838846174509,-0.18010880417043001,1.300678799144711,-1.0138308475937937e-06
Healthy,preprocess_Reading99.dat,-2.400905225829311,-2.1355139555593423,0.3590558059261036,0.4419104676084723,0.7032234642698325,-1.870774654557469e-06
Healthy,preprocess_Reading100.dat,-1.9262447089193953,-2.642667554445456,-0.7974318608035925,-0.40099570401327217,0.43405798283093966,-9.36236775153563e-07
Healthy,preprocess_Reading101.dat,-1.8499447931709139,-2.174993371725088,-0.592445536907501,0.08321751907379221,0.5094529292130646,-1.809617950085885e-06
Healthy,preprocess_Reading102.dat,-1.2942799480978244,-1.9644300008030318,-0.848745383906514,-0.012782731553623146,0.577633996591549,-1.562077126064008e-06
Healthy,preprocess_Reading103.dat,-2.2173563009576687,-2.497060973880697,0.025908627057305837,-0.02605571536802755,0.08291248013277876,-2.995191688878537e-07
Healthy,preprocess_Reading104.dat,-1.5864275185924464,-1.7440940924184027,-1.80223395442156,-0.22238764161804891,0.5383679482379558,-9.959392989116494e-07
Healthy,preprocess_Reading105.dat,-1.9504519723130542,-1.9298212596248123,-1.3777935837511668,0.6279424945919797,0.45833096204696017,-1.3656803574694937e-06
Healthy,preprocess_Reading106.dat,-2.0854082836119674,-2.5022877324942803,0.5882774296593439,0.5798212806392593,0.061379339798772706,8.825526444262974e-07
Healthy,preprocess_Reading107.dat,-2.389075869840552,-2.487589689667003,-0.08071801824265412,0.28655589579111634,0.6006632354895802,1.726077802988249e-06
