,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
media,0.10465557667133552,0.13657014322781522,-0.30110780120746333,-0.93729570634101,0.02679372909990009,0.0010464971320726434,0.006061618653068434,0.01921892418560636,-0.0072076415051690245,-0.0013750125792219607,-0.005263751370880784,-1.0241772195316928e-07
desvio_padrao,-0.00333829233872196,-0.4035368647486652,-0.5516438440478293,0.11648825673493511,-0.0600608510684399,0.7127325257606582,-0.08735203642169007,-0.0018645435311606985,0.005369787182435592,0.0021787636499589072,-0.0020036059526635387,2.6238398401401807e-08
fracao_0_500,0.3987127794379917,-0.061308193328157644,0.010292079485575444,0.04237288727543708,0.2425913302965207,-0.010151364076288893,0.01768952675033626,0.2559004986053144,0.26571496241594994,-0.07900289804473104,0.047094173513829135,-0.7947028928263717
fracao_500_1000,-0.3544801163785156,0.13634186173916732,-0.2573368202371543,0.04245030004005066,-0.46808812915824705,-0.12382982868543267,0.39084857519450683,-0.4436144886650322,0.06137967554444063,0.015355803217282965,-0.013670275300407542,-0.44670302069841566
fracao_1000_2000,-0.3755973487030462,-0.016772524055737495,0.2818870995274566,-0.13237389025282253,0.025470004910670165,0.17999639759079789,-0.444570615264308,-0.010789373024852387,-0.5840903977938804,0.12433836440170475,-0.07528756465855332,-0.4105671985333028
fracao_2000_4000,-0.23396337325822184,-0.2879236439951744,-0.48708124068451186,0.0930642305847518,0.3180875749324517,-0.5718137855178911,-0.33302952256507107,-0.04189679847358857,0.06673075963721456,0.26523439868301474,-0.022287540818607083,-0.018392903573762834
wavelet_D1,-0.3269322104455583,-0.2958710801255391,-0.015528970063219974,-0.056588218456737865,0.3631327086835736,-0.08741417329985476,0.40538118948912266,0.11646994017094374,-0.23805058130554105,-0.6542117281589144,0.008089267244152291,-3.076432691392137e-06
wavelet_D2,-0.33708687521317127,-0.21818431524473264,0.26889879639387915,-0.14532350281476775,0.2603404176816533,0.17965098457663556,0.4408820423340922,0.14789918769268606,0.23604775302287145,0.6081753642552931,0.058685519986987934,2.565087829627919e-06
wavelet_D3,-0.385901642722455,-0.004170319298009542,0.212246467342698,-0.12352383664249536,0.009600431055919924,0.12789708233955419,-0.40693725686481097,-0.16592191809145532,0.6252383527956886,-0.3168783345670162,0.299738397378107,2.5266059730237825e-07
wavelet_D4,-0.2964536453508152,0.33437515544818647,-0.24043076311239514,0.0992460702745874,-0.2516066913814617,-0.032951200760875377,-0.003913071089097657,0.7453692183651925,-0.031490847863438906,0.0046557380453545625,0.3341498395545321,1.9204256896274116e-07
wavelet_D5,0.023239603887298572,0.5138523592653388,-0.18050487659304063,0.1432373615996626,0.5342438672325489,0.18345916865722073,0.07376234855548955,-0.3267783322795788,-0.16428612837592677,0.07300931663482259,0.4676512487011501,-9.451910327447353e-07
wavelet_D6,0.2252524178505533,-0.4494051400030484,0.11832703276105049,-0.09044306580768977,-0.25967712892146444,-0.16182781166333438,0.030669925153701278,-0.10073566735515405,-0.22054817646377478,0.06381703967351297,0.753453548642147,-1.3782620869437056e-06
