cenario,componentes,erro_relativo_percentual,variancia_retida_percentual
Temporal + espectral,1,70.08608263447555,50.87941020953464
Temporal + espectral,2,49.819509379666854,75.18016485169285
Temporal + espectral,3,30.33960833507979,90.79508166073956
Temporal + espectral,4,20.487886077982402,95.80246524055616
Temporal + espectral,5,4.998718953334736e-05,99.99999999997502
Temporal + espectral,6,1.2335438791678918e-13,100.0
Com Wavelet,1,70.33894112902932,50.524333608469476
Com Wavelet,2,48.10810801880061,76.85609942851411
Com Wavelet,3,37.24672194316734,86.12681704488375
Com Wavelet,4,25.564988698183228,93.46431352861762
Com Wavelet,5,19.475381575770946,96.20709512478119
Com Wavelet,6,12.715385642243993,98.38318967969013
Com Wavelet,7,6.828890463924332,99.53366255031722
Com Wavelet,8,4.169947137238999,99.82611540872634
Com Wavelet,9,2.8129443474097044,99.92087344098375
Com Wavelet,10,1.3943941034891032,99.98055665084155
Com Wavelet,11,3.22509520693547e-05,99.9999999999896
Com Wavelet,12,2.34251277031041e-13,99.99999999999999
"Com Wavelet, sem D3",1,72.7413732642706,47.08692615628055
"Com Wavelet, sem D3",2,49.1814955836038,75.81180492159962
"Com Wavelet, sem D3",3,38.16269983427488,85.43608341359034
"Com Wavelet, sem D3",4,25.962732791407156,93.25936506001989
"Com Wavelet, sem D3",5,19.36181236827726,96.25120221815624
"Com Wavelet, sem D3",6,11.892823925159654,98.58560739085146
"Com Wavelet, sem D3",7,6.42670360148455,99.58697480818661
"Com Wavelet, sem D3",8,3.243974302638092,99.89476630723823
"Com Wavelet, sem D3",9,1.776440395953533,99.96844259519622
"Com Wavelet, sem D3",10,3.369469454925658e-05,99.99999999998863
"Com Wavelet, sem D3",11,1.1522231105857436e-13,100.0
