caracteristica_1,caracteristica_2,correlacao,correlacao_absoluta
PSD: 1–2 kHz,Wavelet D3,0.9866030752146437,0.9866030752146437
PSD: 0–500 Hz,Wavelet D3,-0.9341901822623454,0.9341901822623454
PSD: 0–500 Hz,PSD: 500–1.000 Hz,-0.9245829129520786,0.9245829129520786
Wavelet D1,Wavelet D2,0.9235429257219332,0.9235429257219332
PSD: 0–500 Hz,PSD: 1–2 kHz,-0.9078869248530274,0.9078869248530274
Wavelet D4,Wavelet D6,-0.8983269642765598,0.8983269642765598
PSD: 500–1.000 Hz,Wavelet D4,0.8817097771281709,0.8817097771281709
PSD: 1–2 kHz,Wavelet D2,0.8629213326576579,0.8629213326576579
Wavelet D2,Wavelet D3,0.8523841130904283,0.8523841130904283
PSD: 0–500 Hz,Wavelet D4,-0.7938412082590073,0.7938412082590073
Wavelet D5,Wavelet D6,-0.7837971907895682,0.7837971907895682
PSD: 2–4 kHz,Wavelet D1,0.7675472655813167,0.7675472655813167
PSD: 0–500 Hz,Wavelet D2,-0.7518463512198746,0.7518463512198746
Wavelet D1,Wavelet D3,0.745880308858965,0.745880308858965
PSD: 500–1.000 Hz,Wavelet D3,0.7375998574180284,0.7375998574180284
PSD: 1–2 kHz,Wavelet D1,0.7369096404307868,0.7369096404307868
PSD: 0–500 Hz,Wavelet D1,-0.7043724499574995,0.7043724499574995
PSD: 500–1.000 Hz,PSD: 1–2 kHz,0.6803980586439761,0.6803980586439761
PSD: 500–1.000 Hz,Wavelet D6,-0.6666830555378745,0.6666830555378745
Wavelet D3,Wavelet D4,0.6156218945648706,0.6156218945648706
PSD: 0–500 Hz,Wavelet D6,0.6078028884361152,0.6078028884361152
Desvio padrão,PSD: 2–4 kHz,0.571647357873234,0.571647357873234
PSD: 1–2 kHz,Wavelet D4,0.5668568388037389,0.5668568388037389
PSD: 500–1.000 Hz,Wavelet D1,0.5442061954594566,0.5442061954594566
PSD: 500–1.000 Hz,Wavelet D2,0.523850511920701,0.523850511920701
Wavelet D4,Wavelet D5,0.507962094782304,0.507962094782304
Desvio padrão,Wavelet D5,-0.5075124817681298,0.5075124817681298
PSD: 2–4 kHz,Wavelet D2,0.5003162964124322,0.5003162964124322
Wavelet D3,Wavelet D6,-0.4918702782884678,0.4918702782884678
PSD: 0–500 Hz,PSD: 2–4 kHz,-0.48612911817690346,0.48612911817690346
PSD: 500–1.000 Hz,PSD: 2–4 kHz,0.47395370115410773,0.47395370115410773
Wavelet D1,Wavelet D5,-0.4679136899481594,0.4679136899481594
Desvio padrão,Wavelet D6,0.4612194719100238,0.4612194719100238
PSD: 1–2 kHz,Wavelet D6,-0.45172074929587436,0.45172074929587436
PSD: 2–4 kHz,Wavelet D3,0.4267821992758427,0.4267821992758427
Wavelet D2,Wavelet D5,-0.4169630802615063,0.4169630802615063
PSD: 1–2 kHz,PSD: 2–4 kHz,0.38049361615837984,0.38049361615837984
PSD: 2–4 kHz,Wavelet D5,-0.3652959074077274,0.3652959074077274
Desvio padrão,Wavelet D1,0.3592395796016568,0.3592395796016568
Média,Wavelet D1,-0.27959791065624207,0.27959791065624207
Média,Wavelet D2,-0.2753960236832062,0.2753960236832062
Wavelet D2,Wavelet D4,0.2712297617524602,0.2712297617524602
Desvio padrão,Wavelet D4,-0.2637949045563271,0.2637949045563271
Wavelet D1,Wavelet D4,0.24779968925771256,0.24779968925771256
PSD: 2–4 kHz,Wavelet D4,0.2323557233900823,0.2323557233900823
Média,PSD: 1–2 kHz,-0.23079871683525133,0.23079871683525133
Média,Wavelet D3,-0.21620112785210888,0.21620112785210888
Média,PSD: 0–500 Hz,0.19041881889512252,0.19041881889512252
Média,PSD: 2–4 kHz,-0.18401258318353123,0.18401258318353123
Média,Wavelet D5,0.18335460117260852,0.18335460117260852
PSD: 500–1.000 Hz,Wavelet D5,0.14916452584120105,0.14916452584120105
PSD: 1–2 kHz,Wavelet D5,-0.14368317582530404,0.14368317582530404
Wavelet D2,Wavelet D6,-0.13226542382432657,0.13226542382432657
Desvio padrão,Wavelet D2,0.12808861190832205,0.12808861190832205
Desvio padrão,PSD: 1–2 kHz,-0.11925614295089071,0.11925614295089071
Média,PSD: 500–1.000 Hz,-0.11905816182471754,0.11905816182471754
Wavelet D3,Wavelet D5,-0.11477721926962345,0.11477721926962345
Desvio padrão,Wavelet D3,-0.10123208230898809,0.10123208230898809
Média,Desvio padrão,-0.0880162891461621,0.0880162891461621
Desvio padrão,PSD: 0–500 Hz,0.06123393459026816,0.06123393459026816
Wavelet D1,Wavelet D6,-0.04960300857194602,0.04960300857194602
Média,Wavelet D4,-0.04690791190630958,0.04690791190630958
Desvio padrão,PSD: 500–1.000 Hz,-0.022868331496118208,0.022868331496118208
Média,Wavelet D6,-0.018371367872060486,0.018371367872060486
PSD: 2–4 kHz,Wavelet D6,0.013441961429666895,0.013441961429666895
PSD: 0–500 Hz,Wavelet D5,-0.0011592400207216442,0.0011592400207216442
