,PC1,PC2
media,0.10465557667133552,0.13657014322781522
desvio_padrao,-0.00333829233872196,-0.4035368647486652
fracao_0_500,0.3987127794379917,-0.061308193328157644
fracao_500_1000,-0.3544801163785156,0.13634186173916732
fracao_1000_2000,-0.3755973487030462,-0.016772524055737495
fracao_2000_4000,-0.23396337325822184,-0.2879236439951744
wavelet_D1,-0.3269322104455583,-0.2958710801255391
wavelet_D2,-0.33708687521317127,-0.21818431524473264
wavelet_D3,-0.385901642722455,-0.004170319298009542
wavelet_D4,-0.2964536453508152,0.33437515544818647
wavelet_D5,0.023239603887298572,0.5138523592653388
wavelet_D6,0.2252524178505533,-0.4494051400030484
