cenario,representacao,dimensoes,variancia_retida_percentual,silhouette_medio,percentual_negativo
Temporal + espectral,2 PCs,2,75.18016485169285,0.11062098347899477,38.77777777777778
Temporal + espectral,3 PCs,3,90.79508166073957,0.1221209650839264,34.72222222222222
Temporal + espectral,4 PCs,4,95.80246524055616,0.13035832063307046,32.55555555555556
Temporal + espectral,Completo,6,100.0,0.1340631535404313,31.0
Com Wavelet,2 PCs,2,76.85609942851413,0.11447377330486276,35.22222222222222
Com Wavelet,3 PCs,3,86.12681704488377,0.1904581421989512,27.77777777777778
Com Wavelet,4 PCs,4,93.46431352861764,0.18705852153516092,25.833333333333336
Com Wavelet,Completo,12,100.0,0.1810122536647127,23.833333333333336
"Com Wavelet, sem D3",2 PCs,2,75.81180492159962,0.12194463953347093,34.11111111111111
"Com Wavelet, sem D3",3 PCs,3,85.43608341359035,0.19614399404235056,26.77777777777778
"Com Wavelet, sem D3",4 PCs,4,93.2593650600199,0.1918061511431102,25.222222222222225
"Com Wavelet, sem D3",Completo,11,100.0,0.18331687010099038,23.72222222222222
