classe,arquivo,analise,representacao,silhouette
Healthy,preprocess_Reading1.dat,Temporal + espectral,Características completas,0.2947212090647724
Healthy,preprocess_Reading2.dat,Temporal + espectral,Características completas,0.40647088724197045
Healthy,preprocess_Reading3.dat,Temporal + espectral,Características completas,0.4856436251131991
Healthy,preprocess_Reading4.dat,Temporal + espectral,Características completas,0.5861831588908785
Healthy,preprocess_Reading5.dat,Temporal + espectral,Características completas,0.5383254461010583
Healthy,preprocess_Reading6.dat,Temporal + espectral,Características completas,0.5967475108909569
Healthy,preprocess_Reading7.dat,Temporal + espectral,Características completas,0.5750105503720963
Healthy,preprocess_Reading8.dat,Temporal + espectral,Características completas,0.44867720267455913
Healthy,preprocess_Reading9.dat,Temporal + espectral,Características completas,0.5874224322209864
Healthy,preprocess_Reading10.dat,Temporal + espectral,Características completas,0.6589937502452218
Healthy,preprocess_Reading11.dat,Temporal + espectral,Características completas,0.5757411455257233
Healthy,preprocess_Reading12.dat,Temporal + espectral,Características completas,0.6396317975484196
Healthy,preprocess_Reading13.dat,Temporal + espectral,Características completas,0.5021319682193666
Healthy,preprocess_Reading14.dat,Temporal + espectral,Características completas,0.45008579961462
Healthy,preprocess_Reading15.dat,Temporal + espectral,Características completas,0.6453724001800362
Healthy,preprocess_Reading16.dat,Temporal + espectral,Características completas,0.457980617089789
Healthy,preprocess_Reading17.dat,Temporal + espectral,Características completas,0.5877324515841247
Healthy,preprocess_Reading18.dat,Temporal + espectral,Características completas,0.5883964468479101
Healthy,preprocess_Reading19.dat,Temporal + espectral,Características completas,0.6021878670945836
Healthy,preprocess_Reading20.dat,Temporal + espectral,Características completas,0.6490561133375944
Healthy,preprocess_Reading21.dat,Temporal + espectral,Características completas,0.5318908001370195
Healthy,preprocess_Reading22.dat,Temporal + espectral,Características completas,0.6725510914883887
Healthy,preprocess_Reading23.dat,Temporal + espectral,Características completas,0.5938147330949171
Healthy,preprocess_Reading24.dat,Temporal + espectral,Características completas,0.6253842709468306
Healthy,preprocess_Reading25.dat,Temporal + espectral,Características completas,0.697408267246957
Healthy,preprocess_Reading26.dat,Temporal + espectral,Características completas,0.5515269974528799
Healthy,preprocess_Reading27.dat,Temporal + espectral,Características completas,0.552466414322495
Healthy,preprocess_Reading28.dat,Temporal + espectral,Características completas,0.5669850094651122
Healthy,preprocess_Reading29.dat,Temporal + espectral,Características completas,0.45446789197211374
Healthy,preprocess_Reading30.dat,Temporal + espectral,Características completas,0.5907957237500465
Healthy,preprocess_Reading31.dat,Temporal + espectral,Características completas,0.6596534147504913
Healthy,preprocess_Reading32.dat,Temporal + espectral,Características completas,0.5979208250372627
Healthy,preprocess_Reading33.dat,Temporal + espectral,Características completas,0.426950668402322
Healthy,preprocess_Reading34.dat,Temporal + espectral,Características completas,0.41545282374367887
Healthy,preprocess_Reading35.dat,Temporal + espectral,Características completas,0.4327301653881374
Healthy,preprocess_Reading36.dat,Temporal + espectral,Características completas,0.6166382974280662
Healthy,preprocess_Reading37.dat,Temporal + espectral,Características completas,0.6429995024048161
Healthy,preprocess_Reading38.dat,Temporal + espectral,Características completas,0.31599095705972413
Healthy,preprocess_Reading39.dat,Temporal + espectral,Características completas,0.6372413766164284
Healthy,preprocess_Reading40.dat,Temporal + espectral,Características completas,0.6760591479622183
Healthy,preprocess_Reading41.dat,Temporal + espectral,Características completas,0.6033898175524723
Healthy,preprocess_Reading42.dat,Temporal + espectral,Características completas,0.4257261132318979
Healthy,preprocess_Reading43.dat,Temporal + espectral,Características completas,0.5146811509678575
Healthy,preprocess_Reading44.dat,Temporal + espectral,Características completas,0.6721061460587529
Healthy,preprocess_Reading45.dat,Temporal + espectral,Características completas,0.6219658022666104
Healthy,preprocess_Reading46.dat,Temporal + espectral,Características completas,0.6707630146226847
Healthy,preprocess_Reading47.dat,Temporal + espectral,Características completas,0.5454671559500713
Healthy,preprocess_Reading48.dat,Temporal + espectral,Características completas,0.6746977958086328
Healthy,preprocess_Reading49.dat,Temporal + espectral,Características completas,0.6191769037689809
Healthy,preprocess_Reading50.dat,Temporal + espectral,Características completas,0.6578141449798863
Healthy,preprocess_Reading51.dat,Temporal + espectral,Características completas,0.4349195468031204
Healthy,preprocess_Reading52.dat,Temporal + espectral,Características completas,0.6115617386527049
Healthy,preprocess_Reading53.dat,Temporal + espectral,Características completas,0.5804992563347413
